,Date,Open,High,Low,Close,Adj Close,Volume,Next Close
0,1980-03-17,0.0,12.908190682097379,12.63059597516854,12.769394929063672,2.6065030681273416,271500,3.974907
1,1980-03-18,0.0,12.81566018007491,12.63059597516854,12.723126477191013,2.597057326067416,376100,4.047179
2,1980-03-19,0.0,13.139520138014982,12.861925431086142,12.954459133970039,2.6442764337827716,858700,4.032724
3,1980-03-20,0.0,12.954459133970039,12.861925431086142,12.908190682097379,2.6348338925842696,144400,4.032724
4,1980-03-21,0.0,12.908190682097379,12.769394929063672,12.908190682097379,2.6348338925842696,106300,3.888182
5,1980-03-24,0.0,12.81566018007491,12.445531770262173,12.445531770262173,2.5403924762921353,744500,3.84482
6,1980-03-25,0.0,12.491800222134833,12.260467565355807,12.306736017228467,2.5120616518352064,112400,3.8592739999999996
7,1980-03-26,0.0,12.491800222134833,12.260467565355807,12.353001268239701,2.5215073938951313,94200,3.830365
8,1980-03-27,0.0,12.306736017228467,12.214202314344572,12.260467565355807,2.5026191106367044,133100,4.0038160000000005
9,1980-03-28,0.0,12.954459133970039,12.353001268239701,12.81566018007491,2.615945609325843,152200,4.018269999999999
10,1980-03-31,0.0,12.908190682097379,12.769394929063672,12.861925431086142,2.6253881505243446,181600,3.960453
11,1980-04-01,0.0,12.719015148518517,12.444504827222222,12.536007212555555,2.5588635094814816,336400,3.9026370000000004
12,1980-04-02,0.0,12.444504827222222,12.078488955296297,12.35300244188889,2.5215066825925927,1004800,3.7725489999999997
13,1980-04-03,0.0,12.078488955296297,11.803978634000002,11.941235377296296,2.4374554047407413,418500,3.787003
14,1980-04-07,0.0,12.03273776262963,11.849729826666668,11.986986569962962,2.446796194111111,635600,3.8159110000000003
15,1980-04-08,0.0,12.169994505925926,11.803978634000002,12.078488955296297,2.4654714422592594,486800,3.9459989999999996
16,1980-04-09,0.0,12.536007212555555,12.26149689125926,12.490256019888887,2.5495227201111113,211800,4.047179
17,1980-04-10,0.0,12.810520699148148,12.627512763185187,12.810520699148148,2.6148955845185187,40600,4.235083
18,1980-04-11,0.0,13.405292534407408,12.993525469814815,13.405292534407408,2.736300523962963,82100,4.19172
19,1980-04-14,0.0,13.405292534407408,13.268035791111112,13.268035791111112,2.7082844864444446,133100,4.162812000000001
