,Date,Open,High,Low,Close,Adj Close,Volume,Next Close
0,1983-08-04,0.0,3.5930282814371255,3.528867062125748,3.528867062125748,1.5612478073353293,2550700,1.379125
1,1983-08-05,0.0,3.5930282814371255,3.528867062125748,3.528867062125748,1.5612478073353293,769600,1.35405
2,1983-08-08,0.0,3.528867062125748,3.464705842814371,3.464705842814371,1.5328607857185628,498100,1.35405
3,1983-08-09,0.0,3.5930282814371255,3.464705842814371,3.464705842814371,1.5328607857185628,202600,1.35405
4,1983-08-10,0.0,3.5930282814371255,3.464705842814371,3.464705842814371,1.5328607857185628,132400,1.379125
5,1983-08-11,0.0,3.6571895007485034,3.528867062125748,3.528867062125748,1.5612478073353293,123400,1.379125
6,1983-08-12,0.0,3.6571895007485034,3.528867062125748,3.528867062125748,1.5612478073353293,110200,1.479425
7,1983-08-15,0.0,3.9138343779940117,3.7855119393712573,3.7855119393712573,1.6747933350299402,223600,1.629874
8,1983-08-16,0.0,4.3629603544011974,4.170476696467066,4.170476696467066,1.8451103471856287,293800,1.629874
9,1983-08-17,0.0,4.298801693862275,4.170476696467066,4.170476696467066,1.8451103471856287,162900,1.629874
10,1983-08-18,0.0,4.234640474550898,4.170476696467066,4.170476696467066,1.8451103471856287,135600,1.629874
11,1983-08-19,0.0,4.234640474550898,4.170476696467066,4.170476696467066,1.8451103471856287,95400,1.579725
12,1983-08-22,0.0,4.170476696467066,4.0421568166167665,4.0421568166167665,1.7883363039520956,211500,1.579725
13,1983-08-23,0.0,4.170476696467066,4.0421568166167665,4.0421568166167665,1.7883363039520956,609400,1.554649
14,1983-08-24,0.0,4.106318035928144,3.977993038532934,3.977993038532934,1.7599518411077844,258400,1.554649
15,1983-08-25,0.0,4.106318035928144,3.977993038532934,3.977993038532934,1.7599518411077844,71700,1.554649
16,1983-08-26,0.0,4.106318035928144,3.977993038532934,3.977993038532934,1.7599518411077844,108600,1.554649
