,Date,Open,High,Low,Close,Adj Close,Volume,Next Close
0,1980-03-17,0.0,1.525412122434457,1.4879012274157306,1.4879012274157306,0.01196161913857678,217600,0.453125
1,1980-03-18,0.0,1.5004037921348317,1.450390332397004,1.450390332397004,0.011660738164794009,272000,0.453125
2,1980-03-19,0.0,1.462892897116105,1.4378877676779027,1.450390332397004,0.011660738164794009,777600,0.453125
3,1980-03-20,0.0,1.4753986626966293,1.450390332397004,1.450390332397004,0.011660738164794009,2105600,0.445313
4,1980-03-21,0.0,1.462892897116105,1.4253852029588017,1.4253852029588017,0.011459083895131086,348800,0.421875
5,1980-03-24,0.0,1.400376872659176,1.3503634129213486,1.3503634129213486,0.010857321947565545,252800,0.429688
6,1980-03-25,0.0,1.375371743220974,1.3628659776404497,1.375371743220974,0.011055775355805245,252800,0.429688
7,1980-03-26,0.0,1.387874307940075,1.3628659776404497,1.375371743220974,0.011055775355805245,396800,0.425781
8,1980-03-27,0.0,1.375371743220974,1.3628659776404497,1.3628659776404497,0.010956548651685393,112000,0.417969
9,1980-03-28,0.0,1.375371743220974,1.3378608482022472,1.3378608482022472,0.010754894382022474,1651200,0.429688
10,1980-03-31,0.0,1.387874307940075,1.3378608482022472,1.375371743220974,0.011055775355805245,134400,0.445313
11,1980-04-01,0.0,1.4095475895925926,1.3848171296296297,1.4095475895925926,0.011331760740740741,134400,0.460938
12,1980-04-02,0.0,1.4713689915555557,1.4342748842592592,1.4590053442222222,0.011730588074074075,102400,0.46875
13,1980-04-03,0.0,1.483732638888889,1.4713689915555557,1.483732638888889,0.01193000174074074,608000,0.476563
14,1980-04-07,0.0,1.508463098851852,1.483732638888889,1.508463098851852,0.012126250111111112,89600,0.46875
15,1980-04-08,0.0,1.483732638888889,1.4713689915555557,1.483732638888889,0.01193000174074074,156800,0.472656
16,1980-04-09,0.0,1.5331903935185185,1.483732638888889,1.4960962862222225,0.012028125925925927,755200,0.492188
17,1980-04-10,0.0,1.5579208534814815,1.508463098851852,1.5579208534814815,0.012525077444444447,195200,0.496094
18,1980-04-11,0.0,1.582648148148148,1.5579208534814815,1.5702845008148147,0.012623201629629632,464000,0.492188
19,1980-04-14,0.0,1.5702845008148147,1.5579208534814815,1.5579208534814815,0.012525077444444447,124800,0.488281
20,1980-04-15,0.0,1.5579208534814815,1.545554040851852,1.545554040851852,0.01242695325925926,73600,0.484375
21,1980-04-16,0.0,1.545554040851852,1.5208267461851852,1.5331903935185185,0.012325663777777777,233600,0.46875
22,1980-04-17,0.0,1.483732638888889,1.483732638888889,1.483732638888889,0.01193000174074074,131200,0.460938
23,1980-04-18,0.0,1.483732638888889,1.4590053442222222,1.4590053442222222,0.011730588074074075,134400,0.4375
24,1980-04-21,0.0,1.4342748842592592,1.3848171296296297,1.3848171296296297,0.011132347074074076,204800,0.441406
25,1980-04-22,0.0,1.421911236925926,1.3971807769629632,1.3971807769629632,0.011233636555555556,67200,0.445313
26,1980-04-23,0.0,1.4095475895925926,1.3971807769629632,1.4095475895925926,0.011331760740740741,80000,0.445313
27,1980-04-24,0.0,1.4095475895925926,1.3971807769629632,1.4095475895925926,0.011331760740740741,153600,0.449219
